seller_id,product_id,price,ado,discount,category_id,cluster,rating,seller_type
450425,57823094,449.28,0.67,1.0,9,Fashion,2,Local
693451,87355941,903.33,0.09,0.46,2,FMCG,2,Local
712453,68140153,479.65,0.28,0.93,10,Lifestyle,3,Local
673568,52506273,708.93,0.79,0.92,1,FMCG,2,Offshore
122164,77672980,366.55,0.31,0.71,7,Lifestyle,1,Local
796558,49423571,961.21,0.39,0.47,9,Fashion,1,Offshore
423577,37315618,226.41,0.39,0.09,5,Electronics,1,Offshore
328805,52603605,469.39,0.66,0.26,6,Lifestyle,2,Local
253493,82296990,251.81,0.12,0.21,1,Fashion,1,Offshore
485015,51085501,246.6,0.25,0.36,6,FMCG,5,Offshore
759284,50808383,957.52,0.51,0.73,7,Electronics,5,Offshore
622466,53238651,874.14,0.09,1.0,2,FMCG,4,Offshore
115863,87671274,647.74,0.05,0.41,5,Fashion,5,Offshore
320251,49718107,228.82,0.43,0.97,9,FMCG,5,Offshore
619491,71239027,28.19,0.67,0.09,8,Fashion,4,Offshore
408267,31651513,328.17,0.39,0.59,10,Electronics,4,Local
904248,94835720,980.47,0.54,0.64,6,Lifestyle,5,Local
112026,64684901,113.9,0.69,0.1,2,Lifestyle,3,Offshore
674156,88767024,830.59,0.27,0.96,4,Electronics,2,Local
325621,73882985,302.59,0.05,0.78,7,Electronics,3,Offshore
587500,93697883,84.01,0.39,0.01,6,Fashion,1,Local
464062,61930903,829.8,0.39,0.41,2,Fashion,5,Local
449447,53681531,706.85,0.99,0.33,2,Electronics,2,Local
437572,19838384,327.44,0.44,0.9,10,Electronics,2,Offshore
153503,24977518,628.19,0.32,0.15,1,Fashion,1,Local
774093,67926679,549.9,0.12,0.79,9,FMCG,1,Offshore
141425,96298147,43.43,0.44,0.57,10,Electronics,1,Offshore
292844,98699465,16.82,0.34,0.22,4,FMCG,5,Local
572222,16431284,240.89,0.2,1.0,8,Fashion,4,Offshore
551596,50239296,169.0,0.25,0.31,9,FMCG,3,Offshore
170933,65288187,914.17,0.78,0.64,2,FMCG,1,Local
860373,18312473,478.52,0.24,0.46,6,FMCG,2,Local
790965,50257065,188.42,0.9,0.28,4,Fashion,3,Local
950471,39242367,145.66,0.11,0.22,6,Electronics,5,Offshore
485425,23081322,716.73,0.7,0.77,8,Fashion,5,Local
588761,26271134,804.83,0.33,0.08,4,FMCG,4,Offshore
900638,88609427,780.94,0.56,0.57,3,FMCG,3,Offshore
119973,63899607,222.93,0.18,0.42,10,Lifestyle,3,Offshore
410291,13493581,707.58,0.39,0.92,7,Lifestyle,5,Local
957475,37974270,814.01,0.09,0.74,8,Lifestyle,5,Local
627107,61573971,586.81,0.98,0.28,9,Electronics,4,Local
752317,52784341,907.2,0.05,0.81,9,Lifestyle,4,Offshore
131599,20900456,913.88,0.83,0.1,2,Lifestyle,3,Local
560003,51126444,624.19,0.54,0.01,4,Lifestyle,3,Local
692763,24737208,986.84,0.69,0.3,3,FMCG,2,Local
529832,12407199,513.14,0.27,0.04,8,FMCG,1,Local
142993,85253405,428.68,0.44,0.19,9,FMCG,1,Local
395822,27878943,451.1,0.69,0.77,10,Electronics,1,Offshore
289071,21912626,983.91,0.05,0.97,3,Lifestyle,2,Local
515776,61155248,429.81,0.05,0.12,2,FMCG,3,Offshore
966168,24920648,709.53,0.08,0.74,10,Electronics,1,Offshore
654471,69726709,167.87,0.25,0.49,3,FMCG,3,Local
258061,27606180,567.4,0.11,0.38,2,FMCG,2,Local
834750,39723920,242.54,0.11,0.27,8,Fashion,2,Local
922847,75649924,245.77,0.46,0.06,10,Electronics,5,Offshore
140047,35526426,502.29,0.44,0.01,8,FMCG,2,Local
725225,99090153,665.63,0.05,0.08,9,FMCG,3,Offshore
689339,28463189,222.3,0.12,0.52,8,FMCG,2,Local
858111,13678273,144.72,0.12,0.15,9,Fashion,2,Local
140819,68210652,743.74,0.09,0.59,4,Lifestyle,5,Offshore
784156,54727107,769.79,0.83,0.85,9,Fashion,1,Offshore
185699,88226602,948.69,0.79,0.79,3,Lifestyle,5,Offshore
743599,99016372,698.92,0.08,0.05,8,Fashion,3,Local
912875,97484305,510.85,0.06,0.86,2,Lifestyle,1,Offshore
672881,51292037,519.37,0.69,0.47,8,Fashion,1,Offshore
571613,54160121,545.27,0.87,0.96,5,FMCG,4,Offshore
164198,21962482,908.21,0.41,0.81,7,Fashion,1,Offshore
245124,28131896,103.18,0.66,0.01,7,Fashion,5,Local
174708,20285220,777.4,0.48,0.06,3,Lifestyle,3,Offshore
686718,74375067,379.19,0.25,0.47,9,Electronics,2,Offshore
