Seller ID,Product ID,Price,Old Price,ADO,Stock,Rating,Offshore Seller
110655,23032860,967.04,1352.43,0.85,841,2,False
393921,39533736,876.35,3044.33,0.96,8394,4,False
743485,11763349,669.21,1968.32,0.54,2254,4,True
299723,82247389,787.21,4346.5,0.15,8257,1,False
153113,91244556,573.71,3240.48,0.92,5883,4,True
339646,71130136,229.97,1005.44,0.46,2524,2,False
838333,62898200,205.29,498.18,0.92,2989,3,True
112315,28726202,262.43,1191.15,0.66,6493,2,False
800416,75867861,98.36,249.47,0.48,8346,1,True
808528,97541093,610.36,2103.0,0.8,7595,3,True
770016,56309969,255.85,307.17,0.92,4653,5,True
453000,46405779,8.34,40.89,0.92,6120,2,False
576038,36489737,922.02,1959.83,0.85,1643,5,True
740990,71104768,137.28,1155.75,0.92,4231,1,False
106996,35023460,530.59,3436.83,0.96,3400,3,False
611494,59921699,113.51,339.44,0.46,681,1,False
649042,93953998,563.91,934.77,0.92,4617,1,False
754137,83803006,104.36,132.81,0.57,6221,2,True
214589,55369527,816.63,1342.01,0.98,3022,3,True
264767,67493843,17.69,19.11,0.13,5652,2,True
577640,73543871,884.82,1603.9,0.65,5817,3,False
733571,45023613,34.31,102.6,0.48,749,3,False
724884,32805302,417.78,574.65,0.13,1746,5,False
807209,19269085,778.8,1092.96,0.52,470,4,False
280400,65316604,773.85,3849.35,0.79,8198,2,False
578031,79835656,294.06,1350.74,0.72,1883,5,False
497798,17237234,692.01,5138.45,0.92,8771,1,False
528807,58728881,310.49,1745.17,0.17,5298,5,False
865010,40052944,940.39,940.39,0.98,5403,3,True
551418,38354261,861.84,3922.7,0.74,3073,3,True
583153,21338188,409.64,540.07,0.65,5256,5,False
615673,85233778,695.5,893.19,0.54,9857,2,False
426445,45017258,612.21,1779.22,0.92,362,4,False
375024,38769769,71.09,71.09,0.27,5960,3,False
880092,48980699,692.66,2328.21,0.52,3858,4,True
913364,11606205,85.44,173.27,0.57,9289,3,False
360425,23336271,260.43,904.17,0.42,1633,5,False
961195,50962374,718.79,2093.39,0.68,6585,5,False
830789,52723945,46.95,189.91,0.8,2991,3,False
313199,88544966,167.85,434.57,0.85,4042,3,False
744916,36409702,702.29,2037.87,0.54,9424,2,True
889338,85586653,661.86,2191.77,0.56,8535,3,True
486273,37255494,288.15,1164.61,0.21,8418,1,False
937373,89739734,846.19,1086.2,0.65,6080,1,False
568040,55612450,421.02,1878.79,0.43,4927,2,True
808871,32230595,476.3,1318.85,0.92,3947,3,False
484010,79942363,116.78,204.92,0.63,9336,1,True
798704,91112453,751.77,3535.07,0.21,9237,5,False
693362,34149665,596.61,596.61,0.52,3559,2,False
491805,99577846,956.78,3335.69,0.8,369,5,False
